workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,rpe,volume_kg,estimated_1rm,notes
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Face Pull (Cable),3,17.5,18,,315.0,28.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Lat Pulldown (Cable),1,70.0,13,,910.0,100.33333333333333,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Lat Pulldown (Cable),2,70.0,12,,840.0,98.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Lat Pulldown (Cable),3,70.0,11,,770.0,95.66666666666667,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Lat Pulldown (Cable),4,70.0,9,,630.0,91.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Pull Up,1,0.0,12,,0.0,0.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Pull Up,2,10.0,9,,90.0,13.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Pull Up,3,10.0,8,,80.0,12.666666666666666,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Pull Up,4,0.0,13,,0.0,0.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Shrug (Dumbbell),1,24.0,22,,528.0,41.6,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Shrug (Dumbbell),2,24.0,19,,456.0,39.2,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Shrug (Dumbbell),3,24.0,16,,384.0,36.8,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Bulgarian Split Squat,1,14.0,13,,182.0,20.066666666666666,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Bulgarian Split Squat,2,14.0,12,,168.0,19.599999999999998,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Deadlift (Barbell),1,60.0,14,,840.0,88.0,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Deadlift (Barbell),2,80.0,12,,960.0,112.0,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Deadlift (Barbell),3,80.0,12,,960.0,112.0,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Deadlift (Barbell),4,80.0,10,,800.0,106.66666666666666,
408,2022-07-13 11:10:45,Legs 1,2022,2022-07,2022-07-11/2022-07-17,Wednesday,Deadlift (Barbell),5,80.0,16,,1280.0,122.66666666666666,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Bench Press (Barbell),1,20.0,20,,400.0,33.33333333333333,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Bench Press (Barbell),2,50.0,11,,550.0,68.33333333333333,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Bench Press (Barbell),3,80.0,11,,880.0,109.33333333333334,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Bench Press (Barbell),4,85.0,8,,680.0,107.66666666666666,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Bench Press (Barbell),5,85.0,6,,510.0,102.0,
409,2022-07-14 15:02:58,Push 1,2022,2022-07,2022-07-11/2022-07-17,Thursday,Cable Crossover,1,13.75,17,,233.75,21.541666666666668,
