workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,volume_kg,estimated_1rm,notes
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Chin Up,1,0.0,12,0.0,0.0,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Chin Up,2,0.0,12,0.0,0.0,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Chin Up,3,0.0,12,0.0,0.0,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Chin Up,4,0.0,12,0.0,0.0,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Chin Up,5,0.0,12,0.0,0.0,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Hammer seated row (CLOSE GRIP),1,81.64656,12,979.7587199999999,114.30518399999998,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Hammer seated row (CLOSE GRIP),2,104.32616,12,1251.91392,146.056624,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Hammer seated row (CLOSE GRIP),3,104.32616,12,1251.91392,146.056624,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Hammer seated row (CLOSE GRIP),4,104.32616,10,1043.2616,139.10154666666665,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Seated Cable Row (close Grip),1,61.23492,12,734.8190400000001,85.728888,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Seated Cable Row (close Grip),2,65.77083999999999,12,789.2500799999999,92.07917599999999,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Seated Cable Row (close Grip),3,72.57472,12,870.8966399999999,101.604608,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Seated Cable Row (close Grip),4,79.3786,12,952.5432000000001,111.13004000000001,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Seated Cable Row (close Grip),5,79.3786,12,952.5432000000001,111.13004000000001,
325,2017-09-17 14:07:44,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Sunday,Squat (Barbell),1,83.91452,5,419.57259999999997,97.90027333333333,
325,2017-09-17 14:07:44,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Sunday,Squat (Barbell),2,83.91452,5,419.57259999999997,97.90027333333333,
325,2017-09-17 14:07:44,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Sunday,Squat (Barbell),3,102.0582,6,612.3492,122.46983999999999,
