"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"4";"80.0";"15";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"Rest Timer";"";"";"";"";"130.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"5";"80.0";"15";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"Rest Timer";"";"";"";"";"130.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"1";"18.0";"13";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"2";"18.0";"12";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"3";"18.0";"14";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"4";"18.0";"14";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Bulgarian Split Squat";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"1";"80.0";"17";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"2";"87.5";"16";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"3";"90.0";"13";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"4";"90.0";"15";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"1";"30.0";"15";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"Rest Timer";"";"";"";"";"65.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"2";"35.0";"12";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"Rest Timer";"";"";"";"";"65.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"3";"35.0";"11";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Standing Leg Curl";"Rest Timer";"";"";"";"";"65.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"1";"0.0";"15";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"Rest Timer";"";"";"";"";"150.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"2";"15.0";"14";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"Rest Timer";"";"";"";"";"150.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"3";"20.0";"8";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"Rest Timer";"";"";"";"";"150.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"4";"15.0";"8";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"Rest Timer";"";"";"";"";"150.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"5";"0.0";"15";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Pull Up";"Rest Timer";"";"";"";"";"150.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"1";"34.0";"12";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"2";"34.0";"14";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"3";"34.0";"13";"";"";"";"";""
"745";"2025-06-06 13:24:58";"Nachmittags-Workout";"3992";"Bent Over One Arm Row (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
