month,exercise_name,best_1rm_kg
2021-11-01,Triceps Extension (Cable),41.2
2021-11-01,Triceps Pushdown (Cable - Straight Bar),43.1
2021-11-01,Upright Row (Cable),36.4
2021-12-01,Bent Over One Arm Row (Dumbbell),33.0
2021-12-01,Chest Dip,0.0
2021-12-01,Goblet Squat (Kettlebell),36.7
2021-12-01,Kettlebell Swing,32.0
2021-12-01,Pull Up,20.8
2021-12-01,Seated Overhead Press (Dumbbell),30.1
2022-01-01,Bench Press (Barbell),93.3
2022-01-01,Bent Over Row (Barbell),82.0
2022-01-01,Bicep Curl (Barbell),31.5
2022-01-01,Bicep Curl (Machine),70.7
2022-01-01,Cable Crossover,16.5
2022-01-01,Chest Dip,0.0
2022-01-01,Deadlift (Barbell),98.7
2022-01-01,Face Pull (Cable),16.9
2022-01-01,Goblet Squat (Kettlebell),36.7
2022-01-01,Hammer Curl (Dumbbell),17.6
2022-01-01,Incline Bench Press (Dumbbell),41.0
2022-01-01,Lat Pulldown - Underhand (Cable),93.3
2022-01-01,Lateral Raise (Cable),11.5
2022-01-01,Lateral Raise (Dumbbell),11.5
2022-01-01,Leg Extension (Machine),121.8
2022-01-01,Leg Press,243.7
2022-01-01,Overhead Press (Dumbbell),30.8
2022-01-01,Pull Up,0.0
2022-01-01,Pullover (Machine),43.1
2022-01-01,Reverse Fly (Machine),65.2
2022-01-01,Romanian Deadlift (Barbell),88.0
2022-01-01,Seated Calf Raise (Plate Loaded),62.7
2022-01-01,Seated Leg Curl (Machine),84.0
2022-01-01,Seated Overhead Press (Dumbbell),32.8
2022-01-01,Seated Row (Cable),104.0
2022-01-01,Shoulder Press (Machine),53.3
2022-01-01,Shrug (Dumbbell),38.4
2022-01-01,Skullcrusher (Barbell),34.5
2022-01-01,Squat (Barbell),78.0
2022-01-01,Strict Military Press (Barbell),56.0
2022-01-01,Sumo Deadlift (Barbell),117.0
2022-01-01,Triceps Extension,0.0
2022-01-01,Triceps Extension (Cable),36.4
2022-01-01,Triceps Pushdown (Cable - Straight Bar),40.3
2022-02-01,Bench Press (Barbell),101.3
2022-02-01,Bent Over Row (Barbell),97.5
