month,exercise_name,best_1rm_kg
2026-02-01,Hack Squat,86.3
2026-02-01,Hammer Curl (Dumbbell),19.1
2026-02-01,Incline Bench Press (Dumbbell),46.5
2026-02-01,Incline Curl (Dumbbell),18.2
2026-02-01,Lat Pulldown (Cable),109.3
2026-02-01,Lateral Raise (Cable),11.0
2026-02-01,Lateral Raise (Dumbbell),12.8
2026-02-01,Leg Extension (Machine),131.3
2026-02-01,Lying Leg Curl (Machine),86.7
2026-02-01,Overhead Press (Smith Machine),50.7
2026-02-01,Pull Up,24.0
2026-02-01,Reverse Fly (Machine),84.3
2026-02-01,Romanian Deadlift (Barbell),84.0
2026-02-01,Seated Leg Curl (Machine),96.8
2026-02-01,Seated Row (Machine),119.0
2026-02-01,Shrug (Dumbbell),51.2
2026-02-01,Skullcrusher (Barbell),44.3
2026-02-01,Standing Calf Raise (Machine),152.0
2026-02-01,T Bar Row,61.5
2026-02-01,Triceps Extension (Cable),36.7
2026-02-01,Upright Row (Cable),39.3
2026-03-01,Bench Press (Barbell),109.3
2026-03-01,Bent Over One Arm Row (Dumbbell),43.0
2026-03-01,Bulgarien Split SMITH,48.0
2026-03-01,Cable Crossover,20.6
2026-03-01,Chest Dip,35.8
2026-03-01,Chest Fly,103.9
2026-03-01,Front Raise (Barbell),14.3
2026-03-01,Hammer Curl (Dumbbell),18.7
2026-03-01,Lateral Raise (Dumbbell),12.8
2026-03-01,Leg Extension (Machine),148.0
2026-03-01,Lying Leg Curl (Machine),71.7
2026-03-01,Pull Up,19.5
2026-03-01,Pullover (Machine),42.0
2026-03-01,Reverse Fly (Machine),84.3
2026-03-01,Romanian Deadlift (Barbell),98.0
2026-03-01,Seated Leg Curl (Machine),96.8
2026-03-01,Seated Row (Machine),112.0
2026-03-01,Skullcrusher (Barbell),44.3
2026-03-01,Triceps Extension (Cable),39.6
2026-03-01,Triceps Pushdown (Cable - Straight Bar),55.6
2026-04-01,Bench Press (Barbell),109.3
2026-04-01,Bent Over One Arm Row (Dumbbell),42.0
2026-04-01,Bicep Curl (Cable),16.4
2026-04-01,Bulgarien Split SMITH,22.4
2026-04-01,Chest Dip,43.0
2026-04-01,Chest Fly,103.9
2026-04-01,Hack Squat,61.5
2026-04-01,Hammer Curl (Dumbbell),17.7
2026-04-01,Incline Bench Press (Dumbbell),43.7
2026-04-01,Incline Curl (Dumbbell),17.2
2026-04-01,Lat Pulldown (Cable),107.5
2026-04-01,Lateral Raise (Dumbbell),14.3
2026-04-01,Lateral Raise (Machine),42.2
2026-04-01,Leg Extension (Machine),142.5
2026-04-01,Lying Leg Curl (Machine),92.0
2026-04-01,Overhead Press (Dumbbell),39.2
2026-04-01,Pendulum Squat,63.3
2026-04-01,Pull Up,26.7
2026-04-01,Pullover (Machine),39.6
2026-04-01,Reverse Fly (Machine),84.3
2026-04-01,Romanian Deadlift (Barbell),84.0
2026-04-01,Seated Leg Curl (Machine),99.1
2026-04-01,Seated Overhead Press (Dumbbell),38.3
2026-04-01,Seated Row (Cable),100.3
2026-04-01,Skullcrusher (Barbell),44.3
2026-04-01,T Bar Row,63.0
2026-04-01,Triceps Extension,13.1
2026-04-01,Triceps Extension (Cable),35.6
2026-04-01,Triceps Extensions Stange,39.4
2026-05-01,Archer Pull,100.3
2026-05-01,Bench Press (Barbell),107.7
2026-05-01,Bicep Curl (Cable),16.4
2026-05-01,Bulgarien Split SMITH,39.0
2026-05-01,Cable Crossover,20.6
2026-05-01,Hack Squat,61.5
2026-05-01,Hammer Curl (Dumbbell),21.9
2026-05-01,Incline Bench Press (Dumbbell),49.2
2026-05-01,Incline Curl (Dumbbell),19.6
2026-05-01,Lateral Raise (Dumbbell),12.8
2026-05-01,Lateral Raise (Machine),42.2
2026-05-01,Leg Extension (Machine),138.8
2026-05-01,Lying Leg Curl (Machine),84.0
2026-05-01,Pull Up,25.2
2026-05-01,Pullover (Machine),39.6
2026-05-01,Reverse Fly (Machine),82.5
2026-05-01,Romanian Deadlift (Barbell),82.0
2026-05-01,Seated Overhead Press (Dumbbell),35.5
2026-05-01,Seated Row (Machine),112.0
2026-05-01,Skullcrusher (Barbell),39.6
2026-05-01,T Bar Row,82.0
2026-05-01,Triceps Extension (Cable),34.0
2026-05-01,Triceps Pushdown (Cable - Straight Bar),55.6
2026-05-01,Upright Row (Cable),37.6
2026-05-01,Wrist Curl Cable,57.0
